player1;player2;bot_type;game_number;nodes;depth;move;cache_hits;time;cache_size;move_number;round_number
FINAL1;NOTABUG;final1;3.0;433674.0;9.0; (2 , 7): -130;993.0;299.0;144371.0;19.0;10.0
FINAL1;NOTABUG;final1;3.0;432607.0;11.0; (1 , 0): -140;1882.0;302.0;172628.0;21.0;11.0
FINAL1;NOTABUG;final1;3.0;384678.0;11.0; (3 , 3): -127;2175.0;896.0;155516.0;23.0;12.0
FINAL1;NOTABUG;final1;3.0;404076.0;13.0; (5 , 6): -19;2409.0;986.0;178554.0;25.0;13.0
FINAL1;NOTABUG;final1;3.0;360221.0;12.0; (6 , 0): -32;3555.0;78.0;179853.0;27.0;14.0
FINAL1;NOTABUG;final1;4.0;0.0;0.0; (4 , 2): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;4.0;0.0;0.0; (3 , 1): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;4.0;0.0;0.0; (3 , 0): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;4.0;188238.0;9.0; (6 , 4): 23;1032.0;659.0;42202.0;8.0;4.0
FINAL1;NOTABUG;final1;4.0;306378.0;9.0; (1 , 4): 16;400.0;852.0;76727.0;10.0;5.0
FINAL1;NOTABUG;final1;4.0;924958.0;11.0; (7 , 0): -8;2336.0;565.0;270863.0;12.0;6.0
FINAL1;NOTABUG;final1;4.0;248565.0;10.0; (7 , 8): 11;1269.0;349.0;84177.0;14.0;7.0
FINAL1;NOTABUG;final1;4.0;332863.0;9.0; (7 , 6): -6;534.0;152.0;84148.0;16.0;8.0
FINAL1;NOTABUG;final1;4.0;312991.0;9.0; (7 , 7): 95;1969.0;887.0;97742.0;18.0;9.0
FINAL1;NOTABUG;final1;4.0;385507.0;10.0; (8 , 8): 123;1778.0;223.0;143602.0;20.0;10.0
FINAL1;NOTABUG;final1;4.0;202319.0;10.0; (1 , 6): -30;812.0;678.0;86015.0;22.0;11.0
FINAL1;NOTABUG;final1;4.0;536143.0;9.0; (0 , 0): -177;2234.0;1280.0;180120.0;24.0;12.0
FINAL1;NOTABUG;final1;4.0;157685.0;12.0; (8 , 5): -318;3752.0;600.0;15399.0;26.0;13.0
FINAL1;NOTABUG;final1;4.0;187651.0;14.0; (5 , 3): -111;1671.0;600.0;26876.0;28.0;14.0
FINAL1;NOTABUG;final1;4.0;170972.0;14.0; (5 , 2): -110;237.0;600.0;15085.0;30.0;15.0
FINAL1;NOTABUG;final1;4.0;384783.0;12.0; (5 , 1): -201;5989.0;603.0;9206.0;32.0;16.0
FINAL1;NOTABUG;final1;4.0;278334.0;9.0; (5 , 0): -199;0.0;600.0;1218.0;34.0;17.0
FINAL1;NOTABUG;final1;5.0;0.0;0.0; (4 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;5.0;0.0;0.0; (8 , 6): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;5.0;0.0;0.0; (5 , 7): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;5.0;498947.0;9.0; (5 , 4): 94;2392.0;1467.0;112611.0;7.0;4.0
FINAL1;NOTABUG;final1;5.0;312481.0;10.0; (7 , 4): 107;1421.0;1317.0;79663.0;9.0;5.0
FINAL1;NOTABUG;final1;5.0;368277.0;9.0; (6 , 1): 1;870.0;916.0;103872.0;11.0;6.0
FINAL1;NOTABUG;final1;5.0;325977.0;10.0; (3 , 8): 3;722.0;897.0;95894.0;13.0;7.0
FINAL1;NOTABUG;final1;5.0;570728.0;9.0; (0 , 8): -8;887.0;110.0;169281.0;15.0;8.0
FINAL1;NOTABUG;final1;5.0;306528.0;10.0; (2 , 8): 3;773.0;262.0;103634.0;17.0;9.0
FINAL1;NOTABUG;final1;5.0;403063.0;10.0; (1 , 6): -144;928.0;558.0;127609.0;19.0;10.0
FINAL1;NOTABUG;final1;5.0;237187.0;10.0; (3 , 5): -141;1011.0;718.0;87087.0;21.0;11.0
FINAL1;NOTABUG;final1;5.0;259797.0;12.0; (1 , 2): -125;648.0;823.0;110620.0;23.0;12.0
FINAL1;NOTABUG;final1;5.0;266677.0;9.0; (1 , 4): -56;628.0;664.0;75390.0;25.0;13.0
FINAL1;NOTABUG;final1;5.0;304060.0;10.0; (2 , 0): -152;2638.0;764.0;126049.0;27.0;14.0
FINAL1;NOTABUG;final1;5.0;579446.0;15.0; (7 , 2): 70;9687.0;1180.0;368481.0;29.0;15.0
FINAL1;NOTABUG;final1;5.0;283573.0;15.0; (7 , 6): 23;4983.0;605.0;180153.0;31.0;16.0
FINAL1;NOTABUG;final1;6.0;0.0;0.0; (4 , 5): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;6.0;0.0;0.0; (3 , 7): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;6.0;0.0;0.0; (3 , 2): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;6.0;161304.0;8.0; (7 , 4): 16;453.0;612.0;44716.0;8.0;4.0
FINAL1;NOTABUG;final1;6.0;751309.0;9.0; (8 , 4): 22;2112.0;2008.0;187555.0;10.0;5.0
FINAL1;NOTABUG;final1;6.0;455708.0;10.0; (0 , 8): -7;1268.0;498.0;124747.0;12.0;6.0
FINAL1;NOTABUG;final1;6.0;352275.0;10.0; (2 , 5): -10;674.0;201.0;104681.0;14.0;7.0
FINAL1;NOTABUG;final1;6.0;294844.0;11.0; (5 , 8): -9;250.0;819.0;86205.0;16.0;8.0
FINAL1;NOTABUG;final1;6.0;288433.0;11.0; (5 , 7): 1;628.0;947.0;95066.0;18.0;9.0
FINAL1;NOTABUG;final1;6.0;408870.0;9.0; (6 , 2): -26;472.0;157.0;93027.0;20.0;10.0
FINAL1;NOTABUG;final1;6.0;274957.0;10.0; (1 , 6): -8;732.0;573.0;100737.0;22.0;11.0
FINAL1;NOTABUG;final1;6.0;244179.0;10.0; (1 , 0): -16;819.0;242.0;100587.0;24.0;12.0
FINAL1;NOTABUG;final1;6.0;267294.0;11.0; (7 , 0): 5;611.0;889.0;89693.0;26.0;13.0
FINAL1;NOTABUG;final1;6.0;198905.0;10.0; (1 , 3): 22;280.0;675.0;50326.0;28.0;14.0
FINAL1;NOTABUG;final1;6.0;269989.0;11.0; (3 , 6): -14;1092.0;840.0;92369.0;30.0;15.0
FINAL1;NOTABUG;final1;6.0;336558.0;13.0; (7 , 8): 185;1495.0;935.0;112398.0;32.0;16.0
FINAL1;NOTABUG;final1;6.0;294093.0;11.0; (0 , 2): -75;4640.0;778.0;148729.0;34.0;17.0
FINAL1;NOTABUG;final1;6.0;327115.0;16.0; (5 , 6): 80;7697.0;608.0;40848.0;36.0;18.0
FINAL1;NOTABUG;final1;7.0;0.0;0.0; (4 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;7.0;0.0;0.0; (8 , 5): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;7.0;0.0;0.0; (3 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;7.0;228704.0;10.0; (7 , 4): 104;1331.0;1135.0;63396.0;7.0;4.0
FINAL1;NOTABUG;final1;7.0;635846.0;10.0; (6 , 8): -5;1262.0;383.0;170920.0;9.0;5.0
FINAL1;NOTABUG;final1;7.0;339968.0;10.0; (1 , 8): -7;515.0;869.0;98145.0;11.0;6.0
FINAL1;NOTABUG;final1;7.0;374341.0;10.0; (2 , 8): -8;508.0;1080.0;112025.0;13.0;7.0
FINAL1;NOTABUG;final1;7.0;248527.0;10.0; (0 , 7): -148;413.0;630.0;71086.0;15.0;8.0
FINAL1;NOTABUG;final1;7.0;515942.0;10.0; (3 , 6): -134;1366.0;74.0;159940.0;17.0;9.0
FINAL1;NOTABUG;final1;7.0;409064.0;10.0; (2 , 2): -131;1656.0;68.0;125367.0;19.0;10.0
FINAL1;NOTABUG;final1;7.0;387183.0;11.0; (5 , 6): -140;1470.0;147.0;142742.0;21.0;11.0
FINAL1;NOTABUG;final1;7.0;389997.0;11.0; (0 , 6): -142;1898.0;555.0;151656.0;23.0;12.0
FINAL1;NOTABUG;final1;7.0;386343.0;12.0; (1 , 0): -36;4899.0;988.0;164184.0;25.0;13.0
FINAL1;NOTABUG;final1;7.0;442476.0;12.0; (1 , 3): -239;5947.0;231.0;173720.0;27.0;14.0
FINAL1;NOTABUG;final1;7.0;281691.0;13.0; (3 , 2): -150;2960.0;600.0;149823.0;29.0;15.0
FINAL1;NOTABUG;final1;7.0;438082.0;18.0; (1 , 5): 33;8076.0;868.0;296233.0;31.0;16.0
FINAL1;NOTABUG;final1;7.0;290581.0;15.0; (5 , 2): 65;6478.0;617.0;217046.0;33.0;17.0
FINAL1;NOTABUG;final1;7.0;364142.0;18.0; (7 , 7): -159;7059.0;622.0;112327.0;35.0;18.0
FINAL1;NOTABUG;final1;7.0;217316.0;4.0; (2 , 4): -418;0.0;600.0;532.0;37.0;19.0
FINAL1;NOTABUG;final1;7.0;344478.0;4.0; (2 , 6): -269;0.0;600.0;1450.0;39.0;20.0
FINAL1;NOTABUG;final1;8.0;0.0;0.0; (4 , 5): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;8.0;0.0;0.0; (3 , 8): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;8.0;0.0;0.0; (3 , 5): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;8.0;610694.0;10.0; (5 , 4): 10;2304.0;581.0;171692.0;8.0;4.0
FINAL1;NOTABUG;final1;8.0;269011.0;9.0; (8 , 4): 95;2021.0;613.0;62023.0;10.0;5.0
FINAL1;NOTABUG;final1;8.0;315830.0;10.0; (0 , 8): 0;1212.0;961.0;96547.0;12.0;6.0
FINAL1;NOTABUG;final1;8.0;320003.0;9.0; (6 , 0): -10;494.0;739.0;87716.0;14.0;7.0
FINAL1;NOTABUG;final1;8.0;269973.0;9.0; (5 , 7): 0;876.0;675.0;79412.0;16.0;8.0
FINAL1;NOTABUG;final1;8.0;620883.0;10.0; (1 , 8): 3;2714.0;302.0;223391.0;18.0;9.0
FINAL1;NOTABUG;final1;8.0;297641.0;11.0; (0 , 6): 160;1181.0;791.0;102789.0;20.0;10.0
FINAL1;NOTABUG;final1;8.0;365080.0;10.0; (5 , 6): -133;2027.0;907.0;117711.0;22.0;11.0
FINAL1;NOTABUG;final1;8.0;312489.0;11.0; (2 , 6): -5;542.0;930.0;99572.0;24.0;12.0
FINAL1;NOTABUG;final1;8.0;331672.0;11.0; (0 , 7): -258;991.0;931.0;151132.0;26.0;13.0
FINAL1;NOTABUG;final1;8.0;252959.0;16.0; (2 , 7): 183;2146.0;600.0;152434.0;28.0;14.0
FINAL1;NOTABUG;final1;9.0;0.0;0.0; (4 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;9.0;0.0;0.0; (8 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;9.0;0.0;0.0; (7 , 0): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;9.0;585693.0;9.0; (5 , 4): 17;2231.0;1881.0;120224.0;7.0;4.0
FINAL1;NOTABUG;final1;9.0;405794.0;10.0; (6 , 1): -8;540.0;317.0;102011.0;9.0;5.0
FINAL1;NOTABUG;final1;9.0;396025.0;10.0; (3 , 7): -3;1664.0;211.0;103018.0;11.0;6.0
FINAL1;NOTABUG;final1;9.0;338472.0;10.0; (5 , 8): 6;640.0;481.0;90198.0;13.0;7.0
FINAL1;NOTABUG;final1;9.0;364913.0;10.0; (3 , 3): 104;741.0;141.0;99483.0;15.0;8.0
FINAL1;NOTABUG;final1;9.0;338601.0;10.0; (1 , 1): 8;956.0;957.0;87143.0;17.0;9.0
FINAL1;NOTABUG;final1;9.0;361523.0;11.0; (6 , 2): 130;868.0;573.0;106790.0;19.0;10.0
FINAL1;NOTABUG;final1;9.0;329977.0;11.0; (3 , 6): 20;1437.0;589.0;98925.0;21.0;11.0
FINAL1;NOTABUG;final1;9.0;306226.0;9.0; (0 , 8): -3;785.0;832.0;90666.0;23.0;12.0
FINAL1;NOTABUG;final1;9.0;315338.0;10.0; (6 , 7): 5;1024.0;448.0;104033.0;25.0;13.0
FINAL1;NOTABUG;final1;9.0;274232.0;12.0; (3 , 2): 172;1820.0;866.0;102303.0;27.0;14.0
FINAL1;NOTABUG;final1;9.0;224716.0;12.0; (5 , 0): 89;895.0;910.0;83349.0;29.0;15.0
FINAL1;NOTABUG;final1;9.0;362924.0;12.0; (3 , 8): 0;5209.0;1040.0;170411.0;31.0;16.0
FINAL1;NOTABUG;final1;9.0;382143.0;19.0; (0 , 2): 1;7343.0;922.0;302468.0;33.0;17.0
FINAL1;NOTABUG;final1;9.0;389998.0;12.0; (0 , 6): -54;6197.0;601.0;7722.0;35.0;18.0
FINAL1;NOTABUG;final1;9.0;391084.0;8.0; (6 , 4): -44;0.0;600.0;156.0;37.0;19.0
FINAL1;NOTABUG;final1;10.0;0.0;0.0; (4 , 0): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;10.0;0.0;0.0; (5 , 0): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;10.0;0.0;0.0; (3 , 6): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;10.0;177726.0;9.0; (0 , 4): 8;687.0;611.0;41568.0;8.0;4.0
FINAL1;NOTABUG;final1;10.0;192100.0;9.0; (1 , 4): 10;272.0;608.0;41471.0;10.0;5.0
FINAL1;NOTABUG;final1;10.0;558435.0;11.0; (7 , 0): -10;1148.0;1497.0;161726.0;12.0;6.0
FINAL1;NOTABUG;final1;10.0;348314.0;11.0; (6 , 7): -11;456.0;870.0;100290.0;14.0;7.0
