player1;player2;game_number;playerId;winnerId;wonMacroFieldsP1;wonMacroFieldsP2;macroBoard;mBoard
FINAL1;NOTABUG;19.0;1.0;2.0;1.0;3.0; 2,-1,-1,-1,2,1,-1,-1,2; 0,0,0,1,2,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,2,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
FINAL1;NOTABUG;20.0;2.0;1.0;4.0;2.0; 1,2,-1,-1,1,-1,1,2,1; 0,1,0,0,1,0,2,0,2,0,1,0,1,0,2,0,0,0,2,1,2,2,2,2,1,1,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,2,1,1,1,0,0,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,2
FINAL1;NOTABUG;21.0;1.0;2.0;2.0;4.0; -1,0,2,1,2,0,2,1,2; 0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,2,2,1,1,1,1,1,0,0,2,2,2,0,0,0,0,1,2,0,0,2,1,2,2,2,1,0,1,0,2,0,1,0,0,1,2,1,0,2,0
FINAL1;NOTABUG;22.0;2.0;1.0;4.0;3.0; 1,-1,1,2,1,2,2,-1,1; 2,0,0,0,0,0,1,0,2,1,1,1,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,1,1,1,0,0,0,2,0,0,0,0,0,2,2,2,1,1,2,0,0,0,0,0,1,0,2,0,1,0,0,0,2,1,2,1,0,1,2,0,0,0,1
FINAL1;NOTABUG;23.0;1.0;2.0;2.0;3.0; -1,2,-1,-1,2,1,1,2,-1; 0,0,0,0,0,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,0,0,2,0,1,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,2,1,1,1,2,2,2,2,1,1
FINAL1;NOTABUG;24.0;2.0;1.0;3.0;2.0; 1,-1,-1,2,1,2,-1,-1,1; 0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,2,2,1,1,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0
FINAL1;NOTABUG;25.0;1.0;2.0;0.0;3.0; 2,-1,-1,-1,2,-1,-1,-1,2; 2,0,0,0,2,0,1,0,2,2,0,0,0,1,0,2,0,2,2,0,0,0,1,1,0,2,1,0,2,1,0,0,2,1,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,2,1,2,0,2,0,1,0,0,2,0,0,0,0,0,2,1,0,2,0
FINAL1;NOTABUG;26.0;2.0;1.0;4.0;1.0; -1,-1,2,-1,1,-1,1,1,1; 0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,2,2,2,0,0,2,0,1,2,0,0,0,1,0,2,0,1,0,2,2,0,0,2,0,0,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,1,0,0,1,0,2,0,0,0,1
FINAL1;NOTABUG;27.0;1.0;2.0;2.0;4.0; -1,-1,1,-1,2,1,2,2,2; 0,0,2,1,0,0,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,1,0,2,0,0,0,1,2,1,1,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,2,2,2,0,1,2
FINAL1;NOTABUG;28.0;2.0;1.0;4.0;2.0; 2,1,1,-1,1,-1,2,1,-1; 1,0,1,0,0,0,1,0,2,2,2,2,1,1,1,1,2,0,0,0,2,0,2,2,1,0,0,1,0,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,2,2,1,0,1,2,0,0,2,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1
FINAL1;NOTABUG;29.0;1.0;2.0;2.0;4.0; -1,1,0,0,2,1,2,2,2; 0,0,0,1,2,0,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,1,0,1,2,2,2,1,1,1,0,0,0,2,2,2,0,1,2,2,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2
FINAL1;NOTABUG;30.0;2.0;1.0;3.0;2.0; 1,-1,2,-1,1,2,-1,-1,1; 0,0,1,0,1,1,2,0,1,0,0,1,0,0,0,1,2,2,0,0,1,0,0,2,1,2,2,0,0,2,0,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,2,2,2,0,2,2,2,0,0,1,0,2,0,2,0,1,0,1,1,0,1,0,1,2,1,0,0,1,2,1
FINAL1;NOTABUG;31.0;1.0;2.0;2.0;3.0; 2,1,-1,-1,2,1,-1,-1,2; 0,0,0,1,1,1,0,2,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,1,0,1,0,1,2,2,2,0,2,1,0,0,0,0,2,0,2,2,2,0,0,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0
FINAL1;NOTABUG;32.0;2.0;1.0;4.0;2.0; 1,2,2,-1,1,-1,1,-1,1; 0,0,1,2,1,0,0,1,2,0,1,0,0,2,0,0,2,0,1,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0
FINAL1;NOTABUG;33.0;1.0;2.0;3.0;3.0; 2,1,1,0,2,0,1,-1,2; 0,2,1,0,0,0,0,2,2,0,2,0,0,1,1,0,0,0,0,2,0,1,1,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,2,2,0,0,1,0,0,1,2,1,2,2,2,1,1,1,0,0,0,0,0,0,2,2,0,2,2,1,0,1,0
FINAL1;NOTABUG;34.0;2.0;1.0;4.0;3.0; 2,-1,-1,2,1,2,1,1,1; 0,0,0,1,2,2,0,1,1,0,0,1,1,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,1,1,0,2,0,0,2,0,0,0,0,2,2,2,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,2,0,0,0
FINAL1;NOTABUG;35.0;1.0;2.0;2.0;4.0; -1,-1,2,1,2,1,2,-1,2; 0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,1,0,0,2,0,2,1,2,1,1,0,1,2,0,1,0,1,0,0,0,0,2,1,0,1,0,2,0,0,1,0,0,0,1,1,2,0,2,0,2,2,2,2,0,2,0,0,1,0,0,0,1
FINAL1;NOTABUG;36.0;2.0;1.0;4.0;0.0; -1,-1,1,-1,1,-1,1,-1,1; 0,0,2,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,2,0,2,0,1,2,0,0,1,0,2
FINAL1;NOTABUG;37.0;1.0;2.0;0.0;3.0; 2,-1,-1,-1,2,-1,-1,-1,2; 0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,2,1,2,1,0,0,1,0,0,0
FINAL1;NOTABUG;38.0;2.0;1.0;3.0;2.0; 2,-1,1,2,1,-1,1,-1,-1; 0,0,2,0,1,0,1,0,0,1,2,0,1,2,0,1,0,0,2,0,0,0,0,0,1,0,2,1,2,2,0,0,0,2,0,0,2,0,2,1,1,1,1,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FINAL1;NOTABUG;39.0;1.0;2.0;1.0;3.0; 2,-1,-1,-1,2,1,-1,-1,2; 0,0,0,1,2,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,2,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
FINAL1;NOTABUG;40.0;2.0;1.0;4.0;2.0; 2,2,-1,0,1,0,1,1,1; 2,1,2,2,2,2,1,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,2,0,0,1,2,1,2,2,0,0,2,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,2,0,0,0,0,0
FINAL1;NOTABUG;41.0;1.0;2.0;1.0;3.0; 2,-1,-1,1,2,-1,-1,-1,2; 2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,1,2,0,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,2,1,2,0,0,0,2,0,0,0,0,1,0,2,2,2,1,1
FINAL1;NOTABUG;42.0;2.0;1.0;3.0;4.0; 1,2,-1,2,1,2,-1,2,1; 0,0,0,2,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,2,2,2,2,1,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,2,2,2,0,0,0
FINAL1;NOTABUG;43.0;1.0;2.0;1.0;3.0; -1,2,-1,-1,2,-1,-1,2,1; 0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,1,2
FINAL1;NOTABUG;44.0;2.0;1.0;4.0;2.0; -1,2,1,-1,1,-1,1,2,1; 0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,2,1,0,1,0,1,0,0,2,0,0,0,1,2,2,0,2,0,1,1,0,0,2,0,1,0,0,2,1,0,2,0,0,1,0,2,1,1,2,0,0,0,1,2
FINAL1;NOTABUG;45.0;1.0;2.0;1.0;3.0; -1,2,-1,-1,2,-1,-1,2,1; 0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,1,2
FINAL1;NOTABUG;46.0;2.0;1.0;4.0;1.0; 0,1,-1,2,1,0,0,1,1; 0,2,0,1,1,1,0,0,0,2,2,0,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,2,1,2,0,0,0,0,1,0,2,0,1,0,1,0,0,2,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,2,0,1,2,2,0,1,0
FINAL1;NOTABUG;47.0;1.0;2.0;1.0;4.0; 2,-1,1,-1,2,-1,2,-1,2; 0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0
FINAL1;NOTABUG;48.0;2.0;1.0;3.0;2.0; 1,-1,2,-1,1,-1,-1,2,1; 0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,2,0,0,1,2,2,0,0,0,1,1,0,0,0,0,0,1,2,2,2,1,1,1,1,2,0,2,1,0,0,0,0
FINAL1;NOTABUG;49.0;1.0;2.0;2.0;3.0; 2,-1,1,-1,2,-1,1,-1,2; 0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,0,2,1,0,1,0,1,1,1,0,0,1,2,0,1,0,1,0,1,2,0,2,0,2,2,1,2,1,0,0,2,0
FINAL1;NOTABUG;50.0;2.0;1.0;4.0;2.0; -1,1,1,2,1,-1,1,-1,2; 1,0,2,0,1,0,0,0,0,1,2,0,0,1,0,1,1,1,0,0,2,2,1,0,0,0,2,2,2,0,1,0,0,2,0,0,1,0,0,2,1,0,0,2,0,2,2,2,2,0,1,0,0,1,0,0,1,0,2,0,1,2,2,0,0,1,1,0,0,1,2,2,0,0,1,0,0,1,0,2,1
FINAL1;NOTABUG;51.0;1.0;2.0;3.0;4.0; 2,1,2,-1,2,-1,1,1,2; 2,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,1,1,0,1,1,0,0,0,2,1,0,1,2,0,1,0,0,2,2,2,0,1,0,0,1,2,2,1
FINAL1;NOTABUG;52.0;2.0;1.0;3.0;1.0; -1,-1,1,-1,1,-1,1,2,-1; 0,1,0,2,0,0,1,0,0,2,2,0,0,2,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,0,0,0,1,0,0,2,2,0,2,0,0,1,0,2,0,2,0,0,1
FINAL1;NOTABUG;53.0;1.0;2.0;3.0;4.0; 2,1,1,-1,2,1,2,-1,2; 2,2,2,1,2,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,1,0,1,2,2,2,1,1,1,0,0,0,1,2,2,0,1,2,2,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2
FINAL1;NOTABUG;54.0;2.0;1.0;3.0;0.0; 1,-1,-1,-1,1,-1,-1,-1,1; 2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,2,2,0,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,2,1,0,0
FINAL1;NOTABUG;55.0;1.0;2.0;2.0;4.0; 0,-1,2,0,2,1,2,1,2; 2,1,0,1,2,0,0,0,1,1,1,0,1,0,0,2,2,2,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,2,0,2,1,2,2,2,0,0,0,0,0,2,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,2
FINAL1;NOTABUG;56.0;2.0;1.0;3.0;1.0; 1,-1,-1,-1,1,2,-1,-1,1; 0,0,1,2,1,2,0,1,2,0,2,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
FINAL1;NOTABUG;57.0;1.0;2.0;0.0;4.0; -1,-1,2,-1,2,-1,2,-1,2; 0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,2,0,1,0,2,0,0,0,0,2,0,0,1,2,1,1,0,0,2,0,0
FINAL1;NOTABUG;58.0;2.0;1.0;4.0;2.0; -1,1,-1,2,1,2,1,1,-1; 1,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,1,2,2,2,2,0,0,2,2,2,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,1,0,0,1,0,0
FINAL1;NOTABUG;59.0;1.0;2.0;1.0;3.0; -1,-1,2,-1,2,-1,2,1,-1; 0,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,2,2,2,0,1,0,1,0,0,0,0,0,0,1,2,2,1,0,2,1,2,1,2,0,2,2,2,1,1,1,0,1,2
FINAL1;NOTABUG;60.0;2.0;1.0;3.0;1.0; 1,0,0,2,1,-1,0,0,1; 0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,0,1,0,0,0,2,0,2,0,2,2,1,0,0,2,0,1,1,0,2,2,1,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,2,0,1
FINAL1;NOTABUG;61.0;1.0;2.0;1.0;4.0; -1,-1,1,-1,2,-1,2,2,2; 0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,0,2,0,0,2,0,0,0,0,0,2,0,1,2,1,0,1,0
FINAL1;NOTABUG;62.0;2.0;1.0;3.0;0.0; 1,-1,-1,-1,1,-1,-1,-1,1; 1,1,1,2,0,2,2,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,2,0,1,0,2,0,0,2,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,2,0,2,1,0,0
FINAL1;NOTABUG;63.0;1.0;2.0;3.0;4.0; 1,-1,1,1,2,0,2,2,2; 1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,1,2,2,0,0,0,1,1,0,0,2,1,0,0,2,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,0,0
